OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
3575,52783,2010/02/26,8,201002261001,"process points, I-40 MM  (1), Field verified by NCGS,",083.02718460W,35.73965203N,52782,WL,,,,,,,
3604,52812,2011/04/08,8,201104081001,"process points, Wadsworth - Zerelli, Field verified by NCGS,",083.12080296W,35.16435651N,52811,WL,,,,,,,
3665,52873,20110927,8,201109277002,"process points, Gunter Fork 1, Field verified by NCGS,",083.19522098W,35.68551544N,52872,WL,,,,,,,
3666,52874,2010/02/26,8,201002260002,"process points, I-40 MM2.5 (2), Field verified by NCGS,",083.06622769W,35.75393592N,52873,WL,,,,,,,
3670,52878,2013/01/22,8,201301220001,"process points, Watauga Vista Stacy, Field verified by NCGS,",083.31593427W,35.25609947N,52877,WL,,,,,,,
3673,52881,2013/02/14,8,201505260001,"process points, Moore Little Choga, Field verified by NCGS,",083.68210941W,35.19210045N,52880,WL,,,,,,,
3674,52882,2013/02/14,8,201302140001,"process points, , Field verified by NCGS,",083.68210941W,35.19210045N,52881,WL,,,,,,,
3677,52885,2013/02/01,8,201302010001,"process points, , Field verified by NCGS,",082.38158153W,35.90313386N,52884,WL,,,,,,,
3679,52887,2013/02/14,8,201302140001,"process points, 441 Slide, Field verified by NCGS,",083.38332191W,35.59220707N,52886,WL,,,,,,,
3695,52903,2013/07/17,8,201307170001,"process points, 194 Embankment Failure, Not field verified,",081.93504318W,36.13391490N,52902,WL,,,,,,,
3701,52909,2013/09/16,8,201309160001,"process points, Bateman, Field verified by NCGS,",082.44648788W,35.46490784N,52908,WL,,,,,,,
3726,52934,20140829,8,201310020001,"process points, NSRR  Lick Log Tunnel Portal, Field verified by NCGS, Fatality:  Joe Drewnoski, killed by a debris slide while examining the tracks after reports of an earlier slide on tracks",082.25274246W,35.63598614N,52933,WL,,,,,,,
3727,52935,2014/01/13,8,201401140001,"process points, 482 Sunset Drive, Field verified by NCGS,",082.53793405W,35.62293730N,52934,WL,,,,,,,
3823,53031,2013/07/20,8,201307200001,"process points, Tanbark BRP, Field verified by NCGS,",082.46046233W,35.66215198N,53030,WL,,,,,,,
3824,53032,2014/01/14,8,201401140001,"process points, , Field verified by NCGS,",082.34379840W,35.62484065N,53031,WL,,,,,,,
3844,53052,2015/10/06,8,201510060001,"process points, Mill Creek Road weathered-rock slide, Field verified by NCGS,",082.24674728W,35.65435828N,53051,WL,,,,,,,
3845,53053,2015/11/10,8,201511100001,"process points, Point Lookout Trail Rockslide, Field verified by NCGS,",082.25132333W,35.63308576N,53052,WL,,,,,,,
3846,53054,2015/10/06,8,201510060002,"process points, , Field verified by NCGS,",082.24655683W,35.65467924N,53053,WL,,,,,,,
3851,53059,2015/12/10,8,201512100001,"process points, Woodfin Slide, Not field verified,",083.11603197W,35.44120233N,53058,WL,,,,,,,
3904,53112,2013/12/17,8,201312170001,"process points, Dry Falls, Field verified by NCGS,",083.23890694W,35.06885236N,53111,WL,,,,,,,
3952,53160,2015/10/06,8, ,"process points, Mills Creek Road Debris Flow, Field verified by NCGS,",082.24662291W,35.65436331N,53159,WL,,,,,,,
4061,53277,"4/15/2007, 2007",8,161,"Debris flow, Heavy rain, Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",073.92750056W,40.92189301N,53276,WL,,,,,,,
4063,53282,"4/15/2007, 2007",8,160,"Debris flow, Heavy rain, Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",073.92695833W,40.92266164N,53281,WL,,,,,,,
4065,53284,"4/15/2007, 2007",8,159,"Debris flow, Heavy rain, Heavy rain triggered a landslide on Henry Hudson Drive which was closed for one month, damage to road and retaining walls.",073.92534839W,40.92887634N,53283,WL,,,,,,,
