OBJECTID_1,OBJECTID,Date,Confidence,LS_ID,Notes,DDLon,DDLat,ORIG_OID,FoundGE,NotFoundGE,FoundLS,NotFoundLS,QC_GE,QC_LS,,
1246,50454,2006/04/06,8,1428,"process points, mac-ws-0013, Field verified by NCGS,",083.61598000W,35.27261000N,50453,,WL,,,,,,
1247,50455,2006/04/27,8,485,"process points, mac-gv-0012, Field verified by NCGS,",083.24723000W,35.13116000N,50454,,WL,,,,,,
1248,50456,2006/04/27,8,477,"process points, mac-gv-0013, Field verified by NCGS,",083.24925000W,35.13041000N,50455,,WL,,,,,,
1249,50457,2006/05/03,8,1513,"process points, mac-ck-0021, Field verified by NCGS,",083.32460000W,35.24674000N,50456,,WL,,,,,,
1250,50458,2006/03/01,8,1514,"process points, mac-rs-0036, Field verified by NCGS,",083.53910000W,35.12403000N,50457,,WL,,,,,,
1251,50459,2006/05/02,8,1515,"process points, Little East Fork 1, Field verified by NCGS,",082.89597000W,35.39996000N,50458,,WL,,,,,,
1252,50460,2006/05/02,8,1516,"process points, Little East Fork 2, Field verified by NCGS,",082.89638000W,35.39992000N,50459,,WL,,,,,,
1253,50461,2006/04/13,8,1435,"process points, mac-pt-1015, Field verified by NCGS,",083.48035000W,35.06293000N,50460,,WL,,,,,,
1254,50462,2006/05/02,8,1517,"process points, Little East Fork 3, Field verified by NCGS,",082.89659000W,35.39979000N,50461,,WL,,,,,,
1255,50463,2006/04/27,8,1523,"process points, Bridal Veil Falls mac-hl-0013, Field verified by NCGS,",083.22900993W,35.07190387N,50462,,WL,,,,,,
1256,50464,2006/04/27,8,1524,"process points, mac-hl-0016, Field verified by NCGS,",083.22919000W,35.07181000N,50463,,WL,,,,,,
1257,50465,2006/04/27,8,1528,"process points, mac-gv-0016, Field verified by NCGS,",083.23566000W,35.13794000N,50464,,WL,,,,,,
1258,50466,2007/05/23,8,4553,"process points, Boone Quarry failure, Field verified by NCGS,",081.71223000W,36.20440000N,50465,,WL,,,,,,
1261,50469,2006/03/01,8,1443,"process points, mac-rs-0039, Field verified by NCGS,",083.53320000W,35.11894000N,50468,,WL,,,,,,
1262,50470,2006/03/07,8,1587,"process points, mac-rs-0041, Field verified by NCGS,",083.53491000W,35.10981000N,50469,,WL,,,,,,
1263,50471,2006/04/18,8,1471,"process points, mac-pt-0038, Field verified by NCGS,",083.41285000W,35.01953000N,50470,,WL,,,,,,
1264,50472,2006/05/02,8,1535,"process points, mac-ck-0020, Field verified by NCGS,",083.28120000W,35.12602000N,50471,,WL,,,,,,
1265,50473,2006/04/18,8,1464,"process points, mac-pt-0035, Field verified by NCGS,",083.40436000W,35.02372000N,50472,,WL,,,,,,
1266,50474,2006/04/24,8,1494,"process points, mac-gc-0010, Field verified by NCGS,",083.31819000W,35.25570000N,50473,,WL,,,,,,
1267,50475,2006/04/07,8,1501,"process points, pcws010, Field verified by NCGS,",083.31233000W,35.11033000N,50474,,WL,,,,,,
1268,50476,2006/04/20,8,1502,"process points, mac-rs-1003, Field verified by NCGS,",083.54300000W,35.12204000N,50475,,WL,,,,,,
1269,50477,2006/04/20,8,1503,"process points, mac-rs-1004, Field verified by NCGS,",083.54515000W,35.12103000N,50476,,WL,,,,,,
1270,50478,2006/04/20,8,1504,"process points, mac-rs-1005, Field verified by NCGS,",083.54644000W,35.12045000N,50477,,WL,,,,,,
1271,50479,2006/04/27,8,1506,"process points, mac-ck-1009, Field verified by NCGS,",083.32489000W,35.24044000N,50478,,WL,,,,,,
1272,50480,2006/04/06,8,1512,"process points, mac-hw-0017, Field verified by NCGS,",083.68946000W,35.26709000N,50479,,WL,,,,,,
1273,50481,2006/05/02,8,1539,"process points, mac-ck-0018, Field verified by NCGS,",083.28015000W,35.12739000N,50480,,WL,,,,,,
1274,50482,2006/05/02,8,1540,"process points, mac-ck-0019, Field verified by NCGS,",083.27974000W,35.12626000N,50481,,WL,,,,,,
1275,50483,2006/05/02,8,1541,"process points, mac-ck-0017, Field verified by NCGS,",083.27995000W,35.12591000N,50482,,WL,,,,,,
1276,50484,2006/05/02,8,1548,"process points, mac-sm-0020, Field verified by NCGS,",083.27738000W,35.11913000N,50483,,WL,,,,,,
1277,50485,2006/05/02,8,1549,"process points, mac-sm-0021, Field verified by NCGS,",083.27381000W,35.11727000N,50484,,WL,,,,,,
1278,50486,2006/05/02,8,1550,"process points, mac-sm-0023, Field verified by NCGS,",083.27165000W,35.11784000N,50485,,WL,,,,,,
1279,50487,2006/05/02,8,1551,"process points, mac-sm-0024, Field verified by NCGS,",083.26932000W,35.11666000N,50486,,WL,,,,,,
1280,50488,2006/05/02,8,1555,"process points, mac-sm-0025, Field verified by NCGS,",083.26553000W,35.11169000N,50487,,WL,,,,,,
1281,50489,2006/05/02,8,1556,"process points, mac-sm-0026, Field verified by NCGS,",083.26800000W,35.10795000N,50488,,WL,,,,,,
1282,50490,2006/05/02,8,1560,"process points, mac-sm-0028, Field verified by NCGS,",083.26791000W,35.08561000N,50489,,WL,,,,,,
1283,50491,2006/05/02,8,1562,"process points, mac-sm-0030, Field verified by NCGS,",083.25777000W,35.08041000N,50490,,WL,,,,,,
1284,50492,2006/05/02,8,1564,"process points, mac-hl-0017, Field verified by NCGS,",083.23811000W,35.06931000N,50491,,WL,,,,,,
1285,50493,2006/05/02,8,1565,"process points, mac-hl-0018, Field verified by NCGS,",083.23294000W,35.07195000N,50492,,WL,,,,,,
1286,50494,2006/05/02,8,1566,"process points, mac-hl-0019, Field verified by NCGS,",083.22792000W,35.06821000N,50493,,WL,,,,,,
1287,50495,2006/05/02,8,446,"process points, mac-hl-0020, Field verified by NCGS,",083.22594000W,35.06816000N,50494,,WL,,,,,,
1288,50496,2006/05/02,8,1568,"process points, mac-hl-0021, Field verified by NCGS,",083.24439000W,35.07559000N,50495,,WL,,,,,,
1289,50497,2006/05/02,8,1569,"process points, mac-hl-0022, Field verified by NCGS,",083.24332000W,35.07500000N,50496,,WL,,,,,,
1290,50498,2006/05/02,8,1570,"process points, mac-hl-0023, Field verified by NCGS,",083.24277000W,35.07422000N,50497,,WL,,,,,,
1291,50499,2006/03/01,8,1567,"process points, mac-rs-0037, Field verified by NCGS,",083.53349000W,35.12051000N,50498,,WL,,,,,,
1292,50500,2006/02/03,8,1574,"process points, mac-fk-0012, Field verified by NCGS,",083.48474000W,35.17218000N,50499,,WL,,,,,,
1293,50501,2006/02/03,8,1576,"process points, mac-fk-0013, Field verified by NCGS,",083.48163000W,35.17250000N,50500,,WL,,,,,,
1294,50502,2006/02/01,8,1580,"process points, mac-sm-0033 Fulcher Vistas, Field verified by NCGS,",083.34934879W,35.11674449N,50501,,WL,,,,,,
1295,50503,2006/02/01,8,1581,"process points, mac-sm-0034 Fulcher Vistas, Field verified by NCGS,",083.35009724W,35.11585744N,50502,,WL,,,,,,
1296,50504,2006/02/01,8,1582,"process points, mac-sm-0035, Field verified by NCGS,",083.34690000W,35.11759000N,50503,,WL,,,,,,
1297,50505,2006/02/01,8,1584,"process points, mac-sm-0036, Field verified by NCGS,",083.34366000W,35.12432000N,50504,,WL,,,,,,
1298,50506,2006/01/30,8,1519,"process points, mac-ck-0024, Field verified by NCGS,",083.26744000W,35.13265000N,50505,,WL,,,,,,
1299,50507,2008/10/29,8,5624,"process points, 200810290004, Field verified by NCGS,",082.22818800W,35.52347300N,50506,,WL,,,,,,
1300,50508,2008/10/29,8,5625,"process points, 200810290005, Field verified by NCGS,",082.22867300W,35.52341200N,50507,,WL,,,,,,
1301,50509,2008/10/29,8,5626,"process points, 200810290007, Field verified by NCGS,",082.31433300W,35.59201300N,50508,,WL,,,,,,
1302,50510,2008/10/29,8,5627,"process points, 200810290009, Field verified by NCGS,",082.31445300W,35.59151200N,50509,,WL,,,,,,
1303,50511,2008/10/21,8,5628,"process points, Montreat Baseball Center-Right Field Slide, Field verified by NCGS,",082.29793200W,35.64297100N,50510,,WL,,,,,,
1304,50512,2008/10/30,8,5629,"process points, 200810300001, Field verified by NCGS,",082.74419800W,35.57905900N,50511,,WL,,,,,,
1305,50513,2008/10/30,8,5630,"process points, 200810300002, Field verified by NCGS,",082.74164500W,35.57973000N,50512,,WL,,,,,,
1306,50514,2008/10/30,8,5631,"process points, 200810300003, Field verified by NCGS,",082.74172700W,35.57936200N,50513,,WL,,,,,,
1307,50515,2008/10/30,8,5632,"process points, 200810300005, Field verified by NCGS,",082.74491800W,35.58309600N,50514,,WL,,,,,,
1308,50516,2006/10/26,8,2379,"process points, OFR-006, Field verified by NCGS,",082.24030000W,35.71276000N,50515,,WL,,,,,,
1309,50517,2006/11/01,8,2380,"process points, MRR-044, Field verified by NCGS,",082.30371198W,35.72839095N,50516,,WL,,,,,,
1310,50518,2006/10/24,8,2427,"process points, wat-bn-1001, Field verified by NCGS,",081.68300900W,36.20051100N,50517,,WL,,,,,,
1311,50519,2006/10/24,8,2428,"process points, wat-bn-1002, Field verified by NCGS,",081.67582000W,36.20232000N,50518,,WL,,,,,,
1312,50520,2006/10/24,8,2429,"process points, wat-bn-1003, Field verified by NCGS,",081.67753000W,36.19916000N,50519,,WL,,,,,,
1313,50521,2006/10/19,8,2365,"process points, wat-bn-0002, Field verified by NCGS,",081.63316000W,36.14114000N,50520,,WL,,,,,,
1314,50522,2006/10/19,8,2367,"process points, wat-dg-0041, Field verified by NCGS,",081.62047000W,36.14108000N,50521,,WL,,,,,,
1315,50523,2006/10/19,8,2369,"process points, wat-dg-0042, Field verified by NCGS,",081.62052000W,36.14139000N,50522,,WL,,,,,,
1316,50524,2008/10/07,8,5563,"process points, 200810070025, Field verified by NCGS,",082.50462300W,35.72364600N,50523,,WL,,,,,,
1317,50525,2008/10/07,8,5564,"process points, 200810070026, Field verified by NCGS,",082.50445800W,35.72364300N,50524,,WL,,,,,,
1318,50526,2008/10/07,8,5565,"process points, 200810070027, Field verified by NCGS,",082.50327200W,35.72416300N,50525,,WL,,,,,,
1319,50527,2006/05/25,8,2010,"process points, Black Bear Ridge 1, Field verified by NCGS,",083.09998000W,35.52436000N,50526,,WL,,,,,,
1320,50528,2006/06/01,8,1834,"process points, mac-ck-0024, Field verified by NCGS,",083.35383000W,35.14345000N,50527,,WL,,,,,,
1321,50529,2006/06/01,8,1365,"process points, mac-sm-0037 Fulcher Vistas, Field verified by NCGS,",083.34589327W,35.12253897N,50528,,WL,,,,,,
1322,50530,2006/06/20,8,2015,"process points, Amherst 1, Field verified by NCGS,",078.87026000W,35.73940000N,50529,,WL,,,,,,
1323,50531,2006/06/20,8,2016,"process points, Beaver Creek Cinema 1, Field verified by NCGS,",078.88240000W,35.74465000N,50530,,WL,,,,,,
1324,50532,2006/05/25,8,1935,"process points, Black Bear Ridge 2, Field verified by NCGS,",083.10037000W,35.52389000N,50531,,WL,,,,,,
1325,50533,2006/06/20,8,2017,"process points, Beaver Creek Cinema 2, Field verified by NCGS,",078.88178000W,35.74490000N,50532,,WL,,,,,,
1326,50534,2006/06/20,8,2018,"process points, Beaver Creek Cinema 3, Field verified by NCGS,",078.88178000W,35.74522000N,50533,,WL,,,,,,
1327,50535,2006/11/21,8,2500,"process points, wat-sw-0040, Field verified by NCGS,",081.82061000W,36.26798000N,50534,,WL,,,,,,
1328,50536,2006/11/21,8,2501,"process points, wat-sw-0024, Field verified by NCGS,",081.81851000W,36.26819000N,50535,,WL,,,,,,
1329,50537,2006/11/21,8,2502,"process points, wat-sw-0025, Field verified by NCGS,",081.81947000W,36.26871000N,50536,,WL,,,,,,
1330,50538,2006/11/21,8,2503,"process points, wat-sw-0026, Field verified by NCGS,",081.81964000W,36.26863000N,50537,,WL,,,,,,
1331,50539,2006/11/21,8,2513,"process points, wat-sw-0027, Field verified by NCGS,",081.81856000W,36.26901000N,50538,,WL,,,,,,
1332,50540,2006/07/12,8,2019,"process points, 105 River Roar Road, Field verified by NCGS,",083.28609000W,35.12807000N,50539,,WL,,,,,,
1333,50541,2006/10/18,8,2351,"process points, wat-dg-0030, Field verified by NCGS,",081.57588000W,36.14949000N,50540,,WL,,,,,,
1334,50542,2006/10/18,8,2352,"process points, wat-dg-0047, Field verified by NCGS,",081.57587000W,36.14945000N,50541,,WL,,,,,,
1339,50547,2008/02/14,8,5043,"process points, bun-dm-1004, Field verified by NCGS,",082.68821400W,35.47323000N,50546,,WL,,,,,,
1340,50548,2008/02/25,8,5052,"process points, 200802250014, Field verified by NCGS,",082.77646400W,35.58083900N,50547,,WL,,,,,,
1341,50549,2008/02/25,8,5053,"process points, 200802250013, Field verified by NCGS,",082.77649200W,35.58104000N,50548,,WL,,,,,,
1342,50550,2008/02/25,8,5054,"process points, 200802250012, Field verified by NCGS,",082.77642500W,35.58120800N,50549,,WL,,,,,,
1343,50551,2008/02/25,8,5055,"process points, 200802250015, Field verified by NCGS,",082.77635900W,35.58098900N,50550,,WL,,,,,,
1344,50552,2007/05/17,8,4583,"process points, wat-dg-0062, Field verified by NCGS,",081.51230000W,36.18740000N,50551,,WL,,,,,,
1346,50554,2006/07/12,8,2020,"process points, 69 River Roar Road, Field verified by NCGS,",083.28578000W,35.12831000N,50553,,WL,,,,,,
1349,50557,2008/03/20,8,5178,"process points, 200803200003, Field verified by NCGS,",082.81918300W,35.64523100N,50556,,WL,,,,,,
1350,50558,2007/03/13,8,2946,"process points, bun-mt-0001, Field verified by NCGS,",082.32022000W,35.64707000N,50557,,WL,,,,,,
1351,50559,2008/02/29,8,2300,"process points, 200802290007, Field verified by NCGS,",082.74965700W,35.61526500N,50558,,WL,,,,,,
1362,50570,2006/10/11,8,2046,"process points, CER-003, Field verified by NCGS,",082.16477566W,35.76991969N,50569,,WL,,,,,,
1365,50573,2004/01/16,8,2282,"process points, CPR-077, Field verified by NCGS,",082.46783100W,35.66671700N,50572,,WL,,,,,,
1366,50574,2004/01/16,8,2283,"process points, CPR-078, Field verified by NCGS,",082.47030900W,35.66669600N,50573,,WL,,,,,,
1367,50575,2004/06/11,8,2284,"process points, CPR-085, Field verified by NCGS,",082.40954100W,35.69079800N,50574,,WL,,,,,,
1368,50576,2004/07/09,8,2285,"process points, CPR-088, Field verified by NCGS,",082.37993100W,35.69769000N,50575,,WL,,,,,,
1369,50577,2008/02/29,8,2286,"process points, 200802290009, Field verified by NCGS,",082.74963100W,35.61508100N,50576,,WL,,,,,,
1370,50578,2008/02/29,8,2279,"process points, 200802290010, Field verified by NCGS,",082.74953600W,35.61517000N,50577,,WL,,,,,,
1371,50579,2005/10/12,8,2288,"process points, CRR-002, Field verified by NCGS,",082.76431000W,35.39509000N,50578,,WL,,,,,,
1372,50580,2005/10/12,8,2290,"process points, CRR-004, Field verified by NCGS,",082.77496000W,35.38986000N,50579,,WL,,,,,,
1373,50581,2008/10/31,8,5644,"process points, GSR-004, Field verified by NCGS,",081.37805000W,36.27744000N,50580,,WL,,,,,,
1375,50583,2007/03/27,8,5646,"process points, 200703270045, Field verified by NCGS,",082.26095200W,35.51191900N,50582,,WL,,,,,,
1376,50584,2008/04/17,8,5649,"process points, 200804170031, Field verified by NCGS,",082.46449500W,35.53488400N,50583,,WL,,,,,,
1377,50585,2009/02/26,8,5034,"process points, 200902261001, Field verified by NCGS,",081.94098800W,35.94163800N,50584,,WL,,,,,,
1378,50586,2009/02/26,8,5035,"process points, 200902261003, Field verified by NCGS,",081.94335300W,35.94169600N,50585,,WL,,,,,,
1385,50593,2009/02/26,8,5051,"process points, 200902261004, Field verified by NCGS,",081.94393500W,35.94055800N,50592,,WL,,,,,,
1386,50594,2009/02/26,8,5079,"process points, 200902261006, Field verified by NCGS,",081.94165700W,35.94210000N,50593,,WL,,,,,,
1400,50608,2007/05/10,8,2067,"process points, DG_6B011_018, Field verified by NCGS,",081.52475000W,36.21477000N,50607,,WL,,,,,,
1402,50610,2007/05/10,8,2069,"process points, DG_6B011_020, Field verified by NCGS,",081.52459000W,36.21407000N,50609,,WL,,,,,,
1406,50614,2007/01/23,8,2074,"process points, wat-vc-0033, Field verified by NCGS,",081.77068000W,36.16902000N,50613,,WL,,,,,,
1409,50617,2007/01/04,8,2078,"process points, wat-vc-0027, Field verified by NCGS,",081.81369000W,36.24436000N,50616,,WL,,,,,,
1410,50618,2007/01/24,8,2079,"process points, wat-vc-0028, Field verified by NCGS,",081.81360000W,36.24469000N,50617,,WL,,,,,,
1416,50624,2005/10/12,8,2292,"process points, CRR-006, Field verified by NCGS,",082.77561000W,35.38745000N,50623,,WL,,,,,,
1417,50625,2005/10/05,8,2294,"process points, CRR-009, Field verified by NCGS,",082.78512000W,35.38144000N,50624,,WL,,,,,,
1418,50626,2008/09/18,8,2296,"process points, MRR-, Field verified by NCGS,",082.30924800W,35.72954500N,50625,,WL,,,,,,
1419,50627,2007/01/19,8,2790,"process points, wat-vc-0024, Field verified by NCGS,",081.75945000W,36.19255000N,50626,,WL,,,,,,
1420,50628,2007/01/19,8,2793,"process points, wat-vc-1015, Field verified by NCGS,",081.85552000W,36.24312000N,50627,,WL,,,,,,
1421,50629,2006/12/14,8,2625,"process points, SAM-028, Field verified by NCGS,",082.88053000W,35.30941000N,50628,,WL,,,,,,
1422,50630,2006/09/20,8,2270,"process points, wat-dg-1001, Field verified by NCGS,",081.56661000W,36.21889000N,50629,,WL,,,,,,
1423,50631,2003/09/30,8,2271,"process points, CPR-007, Field verified by NCGS,",082.46080000W,35.66280000N,50630,,WL,,,,,,
1424,50632,2003/09/30,8,2272,"process points, CPR-008, Field verified by NCGS,",082.46280000W,35.66570000N,50631,,WL,,,,,,
1425,50633,2007/05/10,8,2085,"process points, DG_6B011_036, Field verified by NCGS,",081.51826000W,36.20619000N,50632,,WL,,,,,,
1430,50638,2008/06/12,8,5311,"process points, 200806120010, Field verified by NCGS,",082.47408300W,35.73332600N,50637,,WL,,,,,,
1431,50639,2008/06/17,8,5314,"process points, 200806170013, Field verified by NCGS,",082.46468900W,35.73073500N,50638,,WL,,,,,,
1432,50640,2008/10/21,8,5297,"process points,  , Field verified by NCGS,",082.29906300W,35.64349000N,50639,,WL,,,,,,
1433,50641,2008/10/21,8,5298,"process points,  , Field verified by NCGS,",082.29853818W,35.64247983N,50640,,WL,,,,,,
1434,50642,2008/10/21,8,5299,"process points,  , Field verified by NCGS,",082.30313200W,35.64342300N,50641,,WL,,,,,,
1435,50643,2008/10/21,8,5300,"process points,  , Field verified by NCGS,",082.29225534W,35.65011950N,50642,,WL,,,,,,
1436,50644,2008/10/21,8,5301,"process points,  , Field verified by NCGS,",082.31736100W,35.64186400N,50643,,WL,,,,,,
1460,50668,2007/01/25,8,2129,"process points, DGR-001B, Field verified by NCGS,",081.60014000W,36.21235000N,50667,,WL,,,,,,
1461,50669,2007/01/25,8,2130,"process points, DGR-001A, Field verified by NCGS,",081.60028000W,36.21175000N,50668,,WL,,,,,,
1463,50671,2003/11/20,8,2301,"process points, MRR-013, Field verified by NCGS,",082.36879200W,35.70818100N,50670,,WL,,,,,,
1464,50672,2004/07/14,8,2302,"process points, OFR-007, Field verified by NCGS,",082.18860000W,35.74300000N,50671,,WL,,,,,,
1465,50673,2003/09/23,8,2303,"process points, OFRR-002, Field verified by NCGS,",082.23590000W,35.71370000N,50672,,WL,,,,,,
1467,50675,2004/03/25,8,2305,"process points, OTR-002, Field verified by NCGS,",082.49141800W,35.61750300N,50674,,WL,,,,,,
1468,50676,2004/03/26,8,2306,"process points, OTR-003, Field verified by NCGS,",082.49359600W,35.62120000N,50675,,WL,,,,,,
1469,50677,2004/02/04,8,2307,"process points, SKR-001, Field verified by NCGS,",082.59363500W,35.50000600N,50676,,WL,,,,,,
1470,50678,2004/02/04,8,2308,"process points, SKR-002B, Field verified by NCGS,",082.59380000W,35.49910000N,50677,,WL,,,,,,
1471,50679,2006/10/26,8,2378,"process points, OFRR-001, Field verified by NCGS,",082.23720000W,35.71140000N,50678,,WL,,,,,,
1472,50680,2006/10/24,8,2390,"process points, wat-bn-0007, Field verified by NCGS,",081.73171000W,36.20926000N,50679,,WL,,,,,,
1475,50683,2006/10/11,8,2134,"process points, MS_5B166_002, Field verified by NCGS,",081.48233000W,36.23550000N,50682,,WL,,,,,,
1488,50696,2006/08/22,8,2310,"process points, SNR-002, Field verified by NCGS,",083.15209000W,35.48241000N,50695,,WL,,,,,,
1489,50697,2005/10/25,8,2313,"process points, SRR-004, Field verified by NCGS,",082.79353000W,35.35811000N,50696,,WL,,,,,,
1490,50698,2005/10/25,8,2316,"process points, SRR-012, Field verified by NCGS,",082.80621000W,35.34708000N,50697,,WL,,,,,,
1491,50699,2005/10/25,8,2317,"process points, SRR-013, Field verified by NCGS,",082.81935000W,35.33128000N,50698,,WL,,,,,,
1492,50700,2006/11/06,8,2319,"process points, SRR-016, Field verified by NCGS,",082.83654000W,35.31937000N,50699,,WL,,,,,,
1533,50741,2006/10/25,8,2391,"process points, wat-bn-0019, Field verified by NCGS,",081.72503000W,36.21276000N,50740,,WL,,,,,,
1535,50743,2006/10/25,8,2396,"process points, wat-bn-0011, Field verified by NCGS,",081.74538500W,36.21053500N,50742,,WL,,,,,,
1555,50763,2006/10/02,8,2209,"process points, wat-dg-0022, Field verified by NCGS,",081.52731000W,36.18124000N,50762,,WL,,,,,,
1556,50764,2006/10/11,8,2211,"process points, MS_6B012_004, Field verified by NCGS,",081.48435000W,36.23470000N,50763,,WL,,,,,,
1557,50765,2006/10/11,8,2212,"process points, MS_6B012_005, Field verified by NCGS,",081.48306000W,36.23428000N,50764,,WL,,,,,,
1558,50766,2006/10/11,8,2213,"process points, MS_6B012_006, Field verified by NCGS,",081.48287000W,36.23463000N,50765,,WL,,,,,,
1572,50780,2006/09/14,8,2232,"process points, MS_6B012_025, Field verified by NCGS,",081.48829000W,36.23254000N,50779,,WL,,,,,,
1576,50784,2006/10/11,8,2236,"process points, MS_6B012_029, Field verified by NCGS,",081.49131000W,36.23208000N,50783,,WL,,,,,,
1582,50790,2006/10/11,8,2242,"process points, MS_6B012_035 (Guy Carlton landslide, designated IZ, Field verified by NCGS, Source:  Watauga Democrat 1940_08_22; fatalities Martha Ann Carroll, Johnnie Greene (9)",081.49484000W,36.23121000N,50789,,WL,,,,,,
1587,50795,2006/10/11,8,2256,"process points, MS_6B012_049, Field verified by NCGS,",081.48402000W,36.23366000N,50794,,WL,,,,,,
1592,50800,2006/08/22,8,2267,"process points, SNR-001, Field verified by NCGS, occupants of car received minor injuries",083.14333600W,35.46556400N,50799,,WL,,,,,,
1593,50801,2006/08/30,8,2268,"process points, Bills Mountain I, Field verified by NCGS,",082.14686591W,35.43941944N,50800,,WL,,,,,,
1595,50803,2006/10/11,8,2324,"process points, CER-004, Field verified by NCGS,",082.16707000W,35.76675000N,50802,,WL,,,,,,
1596,50804,2006/10/11,8,2325,"process points, LSR-001, Field verified by NCGS,",082.04397000W,35.85511000N,50803,,WL,,,,,,
1597,50805,2006/10/18,8,2326,"process points, LFR-002, Field verified by NCGS,",081.95722000W,35.93881000N,50804,,WL,,,,,,
1598,50806,2006/10/11,8,2331,"process points, wat-ms-1002, Field verified by NCGS,",081.49527000W,36.23133000N,50805,,WL,,,,,,
1599,50807,2006/10/03,8,2334,"process points, wat-dg-0013, Field verified by NCGS,",081.56342000W,36.19718000N,50806,,WL,,,,,,
1600,50808,2006/10/03,8,2335,"process points, wat-dg-0025, Field verified by NCGS,",081.56578000W,36.19317000N,50807,,WL,,,,,,
1603,50811,2006/10/18,8,2345,"process points, wat-dg-1003, Field verified by NCGS,",081.54642000W,36.24206000N,50810,,WL,,,,,,
1604,50812,2006/10/19,8,2350,"process points, wat-dg-1005, Field verified by NCGS,",081.50368000W,36.21942000N,50811,,WL,,,,,,
1605,50813,2006/10/19,8,2347,"process points, wat-dg-1004, Field verified by NCGS,",081.56646000W,36.22231000N,50812,,WL,,,,,,
1606,50814,2006/10/18,8,2353,"process points, wat-dg-0031, Field verified by NCGS,",081.57666000W,36.14993000N,50813,,WL,,,,,,
1607,50815,2006/10/18,8,2354,"process points, wat-dg-0032, Field verified by NCGS,",081.57586000W,36.15046000N,50814,,WL,,,,,,
1608,50816,2006/10/18,8,2356,"process points, wat-dg-0034, Field verified by NCGS,",081.57666000W,36.15016000N,50815,,WL,,,,,,
1609,50817,2006/10/19,8,2360,"process points, wat-dg-0040, Field verified by NCGS,",081.61235000W,36.16902000N,50816,,WL,,,,,,
1610,50818,2006/10/19,8,2362,"process points, wat-bn-0001, Field verified by NCGS,",081.63025000W,36.14186000N,50817,,WL,,,,,,
1611,50819,2006/10/19,8,2371,"process points, wat-dg-0048, Field verified by NCGS,",081.62052000W,36.14120000N,50818,,WL,,,,,,
1612,50820,2006/10/24,8,2372,"process points, wat-bn-0004, Field verified by NCGS,",081.74829000W,36.17504000N,50819,,WL,,,,,,
1614,50822,2006/10/26,8,2375,"process points, CPR-104, Field verified by NCGS,",082.37730300W,35.70589900N,50821,,WL,,,,,,
1615,50823,2006/10/25,8,2399,"process points, wat-bn-0014, Field verified by NCGS,",081.71098000W,36.23443000N,50822,,WL,,,,,,
1616,50824,2006/10/26,8,2404,"process points, wat-bn-0023, Field verified by NCGS,",081.66157000W,36.21741000N,50823,,WL,,,,,,
1617,50825,2006/10/26,8,2405,"process points, wat-bn-0024, Field verified by NCGS,",081.73511400W,36.24029700N,50824,,WL,,,,,,
1618,50826,2006/11/08,8,2408,"process points, wat-bn-0027, Field verified by NCGS,",081.70600000W,36.24155000N,50825,,WL,,,,,,
1619,50827,2006/11/09,8,2410,"process points, wat-bn-0029, Field verified by NCGS,",081.68850000W,36.23082000N,50826,,WL,,,,,,
1620,50828,2006/11/09,8,2411,"process points, wat-bn-0030, Field verified by NCGS,",081.68723000W,36.23103000N,50827,,WL,,,,,,
1621,50829,2006/11/14,8,2415,"process points, wat-sw-0003, Field verified by NCGS,",081.82691000W,36.26428000N,50828,,WL,,,,,,
1622,50830,2006/11/14,8,2417,"process points, wat-sw-0005, Field verified by NCGS,",081.83144000W,36.25566000N,50829,,WL,,,,,,
1623,50831,2006/11/15,8,2419,"process points, wat-sw-0007, Field verified by NCGS,",081.83056000W,36.25818000N,50830,,WL,,,,,,
1624,50832,2006/11/15,8,2421,"process points, wat-sw-0009, Field verified by NCGS,",081.82434000W,36.25644000N,50831,,WL,,,,,,
1625,50833,2006/11/15,8,2422,"process points, wat-sw-0010, Field verified by NCGS,",081.82323000W,36.25879000N,50832,,WL,,,,,,
1626,50834,2006/11/15,8,2423,"process points, wat-sw-0011, Field verified by NCGS,",081.82339000W,36.25671000N,50833,,WL,,,,,,
1627,50835,2006/10/25,8,2435,"process points, wat-bn-1005, Field verified by NCGS,",081.66746000W,36.17297000N,50834,,WL,,,,,,
1628,50836,2006/11/20,8,2478,"process points, wat-sw-0014, Field verified by NCGS,",081.76956000W,36.25228000N,50835,,WL,,,,,,
1629,50837,2006/11/20,8,2480,"process points, wat-sw-0038, Field verified by NCGS,",081.76562000W,36.25457000N,50836,,WL,,,,,,
1630,50838,2006/11/06,8,2474,"process points, wat-bn-1006, Field verified by NCGS,",081.62990000W,36.17341000N,50837,,WL,,,,,,
1631,50839,2006/11/20,8,2477,"process points, wat-sw-0013, Field verified by NCGS,",081.76838000W,36.25272000N,50838,,WL,,,,,,
1632,50840,2006/11/21,8,2491,"process points, wat-sw-0020, Field verified by NCGS,",081.82496000W,36.26890000N,50839,,WL,,,,,,
1633,50841,2006/11/21,8,2492,"process points, wat-sw-0021, Field verified by NCGS,",081.82478000W,36.26893000N,50840,,WL,,,,,,
1634,50842,2006/11/21,8,2493,"process points, wat-sw-0022, Field verified by NCGS,",081.82472000W,36.26911000N,50841,,WL,,,,,,
1635,50843,2006/11/21,8,2499,"process points, wat-sw-0023, Field verified by NCGS,",081.82550000W,36.26822000N,50842,,WL,,,,,,
